,title,subtitle,link
0,"'HEARTBREAK, GUTTED, PROUD'",,https://www.thesun.co.uk/sport/20719279/lineker-rooney-hurst-react-england-world-cup-exit/
1,HARRY'S ANGUISH,Kane breaks silence over missed penalty as England crash out of World Cup,https://www.thesun.co.uk/sport/20719079/harry-kane-responsibility-england-world-cup-france-penalty/
2,,,https://www.thesun.co.uk/sport/20719603/fans-say-same-thing-maguire-england-world-cup-message/
3,OUT OF GAZ?,Gareth Southgate speaks out on his future as England boss after France loss,https://www.thesun.co.uk/sport/20718051/gareth-southgate-england-2022-world-cup-france/
4,ARMBAND OF BROTHERS,,https://www.thesun.co.uk/sport/20717463/harry-kane-consoled-england-france-world-cup-crying/
5,JUST REF OFF,Neville slams referee for performance in England's World Cup loss to France,https://www.thesun.co.uk/sport/20717755/referee-gary-neville-england-world-cup-france/
6,,,https://www.thesun.co.uk/sport/20719540/england-france-ratings-world-cup-lequipe-saka-mbappe/
7,OUI WOZ ROBBED,,https://www.thesun.co.uk/sport/20716405/england-harry-kane-penalty-var-france-world-cup/
8,SPOT ON,,https://www.thesun.co.uk/sport/20719016/watch-bellingham-console-kane-england-world-cup-penalty-miss/
9,PICK & MIX,Pickford ushers camera operator away from Kane after England's World Cup exit,https://www.thesun.co.uk/sport/20717700/harry-kane-england-penalty-jordan-pickford-cameraman-angry-reaction/
10,'ITV CURSE',Fans say the same thing as England go out of World Cup in France loss on ITV,https://www.thesun.co.uk/sport/20717702/fans-say-itv-curse-england-france-world-cup-bbc/
11,TRUE LION,Harry Kane still an England great despite World Cup penalty miss against France,https://www.thesun.co.uk/sport/20717811/harry-kane-england-2022-world-cup-france/
12,ENGLAND RATINGS,Saka shines but Shaw exposed as World Cup dream ends in heartache vs France,https://www.thesun.co.uk/sport/20717133/england-ratings-france-world-cup-kane-shaw-saka/
13,WHERE IT WENT RON,,https://www.thesun.co.uk/sport/20716470/cristiano-ronaldo-stats-portugal-world-cup/
14,'NASTY',England fans left seething at Mbappe’s reaction to Kane’s penalty miss vs France,https://www.thesun.co.uk/sport/20717525/england-penalty-mbappe-kane-world-cup-france/
15,,,https://www.thesun.co.uk/sport/20716748/england-vs-france-world-cup-saka-england/
16,REFFIN' HELL,Maguire slams ref for World Cup KO & 'incredible amount of wrong decisions',https://www.thesun.co.uk/sport/20718150/england-harry-maguire-world-cup-referee/
17,,,https://www.thesun.co.uk/sport/20718011/arsenal-twitter-england-france-william-saliba/
18,KEANE VIEWER,Roy Keane splits fans as he criticises Jordan Pickford for France's goal,https://www.thesun.co.uk/sport/20716801/roy-keane-jordan-pickford-france-world-cup-england/
